T[K],P[bar],[mW/m K]
100,1,199.7
111.5,1,184.1
111.5,1,11.43
140,1,14.65
180,1,19.32
200,1,21.94
220,1,23.99
240,1,26.39
260,1,28.88
280,1,31.47
300,1,34.19
320,1,37.04
340,1,40.03
360,1,43.15
400,1,49.8
500,1,68.34
600,1,88.8
700,1,110.4
800,1,132.5
900,1,154.7
1000,1,176.7
100,10,200.6
149.1,10,130.7
149.1,10,18.17
160,10,18.79
180,10,20.65
200,10,22.74
220,10,24.9
240,10,27.19
260,10,29.6
280,10,32.12
300,10,34.79
320,10,37.59
340,10,40.54
360,10,43.64
400,10,50.23
500,10,68.68
600,10,89.08
100,50,204.5
200,50,40.61
300,50,38.48
400,50,52.69
500,50,70.51
600,50,90.5
100,100,209.1
200,100,84.23
240,100,49.74
260,100,44.85
280,100,43.81
300,100,44.37
320,100,45.79
340,100,47.75
360,100,50.09
400,100,55.61
500,100,72.78
200,1000,188.1
300,1000,137.7
400,1000,120.4
500,1000,120.9
600,1000,130.4
