T[K],P[bar],mu[uPa s]
90.694,0.117,204.5
100,0.3438,155.8
110,0.8813,121.3
120,1.914,97.43
130,3.673,79.87
140,6.412,66.33
150,10.4,55.44
160,15.92,46.27
170,23.28,38.12
180,32.85,30.19
90.694,0.117,3.639
100,0.3438,3.998
110,0.8813,4.396
120,1.914,4.812
130,3.673,5.252
140,6.412,5.725
150,10.4,6.253
160,15.92,6.869
170,23.28,7.652
180,32.85,8.825
90.72,1,193.6
100,1,151.2
111.51,1,117.2
111.51,1,4.327
140,1,5.449
160,1,6.213
180,1,6.963
200,1,7.697
220,1,8.416
240,1,9.117
260,1,9.803
280,1,10.47
300,1,11.13
320,1,11.77
340,1,12.39
360,1,13
400,1,14.18
500,1,16.92
600,1,19.41
700,1,21.68
800,1,23.76
900,1,25.7
1000,1,27.49
90.95,10,195.7
100,10,153.4
120,10,99.86
140,10,67.81
149.14,10,56.3
149.14,10,6.204
160,10,6.287
180,10,7.089
200,10,7.838
220,10,8.558
240,10,9.258
260,10,9.939
280,10,10.6
300,10,11.25
320,10,11.89
340,10,12.51
360,10,13.11
400,10,14.28
500,10,17.04
600,10,19.48
100,50,165.3
200,50,10.83
300,50,12.19
400,50,14.87
500,50,17.41
600,50,19.77
93.22,100,212.8
100,100,174.8
120,100,112.1
140,100,78.3
160,100,56.7
180,100,41.52
200,100,29.55
220,100,19.37
240,100,14.89
260,100,13.8
280,100,13.61
300,100,13.75
320,100,14.04
340,100,14.41
360,100,14.82
400,100,15.72
500,100,18.01
600,100,20.22
