# expansion_ratio[-], T[K]
0.000000000000000000e+00,2.628539999999999964e+03
1.000000000000000000e+00,2.356590000000000146e+03
2.000000000000000000e+00,1.723049999999999955e+03
3.000000000000000000e+00,1.515599999999999909e+03
4.000000000000000000e+00,1.389910000000000082e+03
5.000000000000000000e+00,1.302299999999999955e+03
1.000000000000000000e+01,1.079500000000000000e+03
1.500000000000000000e+01,9.869199999999999591e+02
0.000000000000000000e+00,2.628539999999999964e+03
1.000000000000000000e+00,2.356590000000000146e+03
2.000000000000000000e+01,9.383300000000000409e+02
3.000000000000000000e+01,8.857400000000000091e+02
4.000000000000000000e+01,8.552500000000000000e+02
5.000000000000000000e+01,8.341100000000000136e+02
1.000000000000000000e+02,7.775199999999999818e+02
1.500000000000000000e+02,7.517000000000000455e+02
