# expansion_ratio[-], c[m/s]
0.000000000000000000e+00,1.309299999999999955e+03
1.000000000000000000e+00,1.258299999999999955e+03
2.000000000000000000e+01,8.371000000000000227e+02
3.000000000000000000e+01,7.957000000000000455e+02
4.000000000000000000e+01,7.677999999999999545e+02
5.000000000000000000e+01,7.471000000000000227e+02
1.000000000000000000e+02,6.878999999999999773e+02
1.500000000000000000e+02,6.555000000000000000e+02
0.000000000000000000e+00,1.309299999999999955e+03
1.000000000000000000e+00,1.258299999999999955e+03
2.000000000000000000e+01,8.371000000000000227e+02
3.000000000000000000e+01,7.957000000000000455e+02
4.000000000000000000e+01,7.677999999999999545e+02
5.000000000000000000e+01,7.471000000000000227e+02
1.000000000000000000e+02,6.878999999999999773e+02
1.500000000000000000e+02,6.555000000000000000e+02
