# expansion_ratio[-], cp[kJ/(kg K)]
0.000000000000000000e+00,2.878400000000000070e+00
1.000000000000000000e+00,2.743500000000000050e+00
2.000000000000000000e+00,2.569300000000000139e+00
3.000000000000000000e+00,2.549500000000000099e+00
4.000000000000000000e+00,2.554800000000000182e+00
5.000000000000000000e+00,2.574800000000000200e+00
1.000000000000000000e+01,2.947200000000000042e+00
1.500000000000000000e+01,4.012999999999999901e+00
0.000000000000000000e+00,2.878400000000000070e+00
1.000000000000000000e+00,2.743500000000000050e+00
2.000000000000000000e+01,5.379500000000000171e+00
3.000000000000000000e+01,7.665499999999999758e+00
4.000000000000000000e+01,9.238599999999999923e+00
5.000000000000000000e+01,1.034820000000000029e+01
1.000000000000000000e+02,1.298869999999999969e+01
1.500000000000000000e+02,1.651010000000000133e+01
