# expansion_ratio[-], gamma[-]
0.000000000000000000e+00,1.227300000000000058e+00
1.000000000000000000e+00,1.236399999999999944e+00
2.000000000000000000e+00,1.252899999999999903e+00
3.000000000000000000e+00,1.255400000000000071e+00
4.000000000000000000e+00,1.255100000000000104e+00
5.000000000000000000e+00,1.253300000000000081e+00
1.000000000000000000e+01,1.231200000000000072e+00
1.500000000000000000e+01,1.197000000000000064e+00
0.000000000000000000e+00,1.227300000000000058e+00
1.000000000000000000e+00,1.236399999999999944e+00
2.000000000000000000e+01,1.173300000000000010e+00
3.000000000000000000e+01,1.151299999999999990e+00
4.000000000000000000e+01,1.141399999999999970e+00
5.000000000000000000e+01,1.135799999999999921e+00
1.000000000000000000e+02,1.124500000000000055e+00
1.500000000000000000e+02,1.108800000000000008e+00
