# expansion_ratio[-], k[mW/(cm K)]
0.000000000000000000e+00,4.559400000000000119e+00
1.000000000000000000e+00,3.841000000000000192e+00
2.000000000000000000e+00,2.753499999999999837e+00
3.000000000000000000e+00,2.500799999999999912e+00
4.000000000000000000e+00,2.366800000000000015e+00
5.000000000000000000e+00,2.285800000000000054e+00
1.000000000000000000e+01,2.248499999999999943e+00
1.500000000000000000e+01,2.651899999999999924e+00
0.000000000000000000e+00,4.559400000000000119e+00
1.000000000000000000e+00,3.841000000000000192e+00
2.000000000000000000e+01,3.227500000000000036e+00
3.000000000000000000e+01,4.226399999999999935e+00
4.000000000000000000e+01,4.932100000000000151e+00
5.000000000000000000e+01,5.438600000000000101e+00
1.000000000000000000e+02,6.682000000000000384e+00
1.500000000000000000e+02,6.623700000000000365e+00
