# expansion_ratio[-], mu[millipoise]
0.000000000000000000e+00,1.001800000000000024e+00
1.000000000000000000e+00,9.452000000000000401e-01
2.000000000000000000e+01,5.184900000000000064e-01
3.000000000000000000e+01,4.834700000000000109e-01
4.000000000000000000e+01,4.605099999999999749e-01
5.000000000000000000e+01,4.437099999999999933e-01
1.000000000000000000e+02,3.966700000000000226e-01
1.500000000000000000e+02,3.729600000000000137e-01
0.000000000000000000e+00,1.001800000000000024e+00
1.000000000000000000e+00,9.452000000000000401e-01
2.000000000000000000e+01,5.184900000000000064e-01
3.000000000000000000e+01,4.834700000000000109e-01
4.000000000000000000e+01,4.605099999999999749e-01
5.000000000000000000e+01,4.437099999999999933e-01
1.000000000000000000e+02,3.966700000000000226e-01
1.500000000000000000e+02,3.729600000000000137e-01
