# expansion_ratio[-], p[bar]
0.000000000000000000e+00,1.250000000000000000e+02
1.000000000000000000e+00,7.091899999999999693e+01
2.000000000000000000e+01,5.924599999999999866e-01
3.000000000000000000e+01,3.482500000000000040e-01
4.000000000000000000e+01,2.398800000000000099e-01
5.000000000000000000e+01,1.800599999999999978e-01
1.000000000000000000e+02,7.478999999999999537e-02
1.500000000000000000e+02,4.515999999999999875e-02
0.000000000000000000e+00,1.250000000000000000e+02
1.000000000000000000e+00,7.091899999999999693e+01
2.000000000000000000e+01,5.924599999999999866e-01
3.000000000000000000e+01,3.482500000000000040e-01
4.000000000000000000e+01,2.398800000000000099e-01
5.000000000000000000e+01,1.800599999999999978e-01
1.000000000000000000e+02,7.478999999999999537e-02
1.500000000000000000e+02,4.515999999999999875e-02
