# expansion_ratio[-], rho[kg/m^3]
0.000000000000000000e+00,8.575300000000000367e+00
1.000000000000000000e+00,5.304599999999999760e+00
2.000000000000000000e+01,1.039599999999999969e-01
3.000000000000000000e+01,6.744400000000000395e-02
4.000000000000000000e+01,4.973999999999999949e-02
5.000000000000000000e+01,3.932299999999999685e-02
1.000000000000000000e+02,1.905499999999999902e-02
1.500000000000000000e+02,1.251200000000000055e-02
0.000000000000000000e+00,8.575300000000000367e+00
1.000000000000000000e+00,5.304599999999999760e+00
2.000000000000000000e+01,1.039599999999999969e-01
3.000000000000000000e+01,6.744400000000000395e-02
4.000000000000000000e+01,4.973999999999999949e-02
5.000000000000000000e+01,3.932299999999999685e-02
1.000000000000000000e+02,1.905499999999999902e-02
1.500000000000000000e+02,1.251200000000000055e-02
